Plik z slowkami
spoilt | rozpuszczony; zepsuty
apprenticeship | praktyka (zawodowa)
self-employed | samozatrudniony; pracujący na własny rachunek
counsellor | doradca
degree | stopień naukowy
rapid | gwałtowny; nagły
sue | pozwać
circus | cyrk
benefit from | czerpać korzyści
quitter | ktoś niewytrwały, kto zbyt łatwo się poddaje
thrive | prosperować; kwitnąć
flake | osoba ekscentryczna, szalona
dismiss | zwolnić
be in charge | nadzorować, być szefem, być odpowiedzialnym
court | sąd
intersection | miejsce przecięcia, skrzyżowanie
stick to | trzymać się (czegoś, kogoś)
comfort zone | strefa komfortu
neglected | zaniedbany
master | pan; mistrz
be in charge | nadzorować, być szefem, być odpowiedzialnym
be in charge | nadzorować, być szefem, być odpowiedzialnym
